PARTITION,NODE_COUNT,CPUS,MEMORY,GPU_COUNT,GPU_TYPE,GPU_MEMORY,OS,NODELIST
MIT-6.S198,12,28,128000,2,Tesla P100-PCIE-12GB,12288 MiB,centos7,node737-739;node741;node743;node745-747;node749-752
mit-6345,8,28,128000,2,Tesla P100-PCIE-12GB,12288 MiB,centos7,node743;node745-747;node749-752
mit_normal_gpu,3,24,192000,1,NVIDIA L4,23034 MiB,rocky8,node1706;node1806-1807
mit_normal_gpu,1,64,1031000,4,NVIDIA H100 80GB HBM3,81559 MiB,rocky8,node2906
mit_normal_gpu,1,64,1031000,4,NVIDIA L40S,46068 MiB,rocky8,node2804
mit_preemptable,1,64,1031000,4,NVIDIA H100 80GB HBM3,81559 MiB,rocky8,node2906
mit_preemptable,1,64,1031000,4,NVIDIA L40S,46068 MiB,rocky8,node2804
ou_bcs_high,4,128,2063000,4,NVIDIA H100 80GB HBM3,81559 MiB,rocky8,node1702-1703;node1802-1803
ou_bcs_low,8,128,2063000,4,NVIDIA H100 80GB HBM3,81559 MiB,rocky8,node1702-1703;node1802-1803;node2702-2703;node2802-2803
ou_sloan_gpu,3,64,1031000,4,NVIDIA H100 80GB HBM3,81559 MiB,rocky8,node2640-2642
ou_sloan_teaching,2,64,1031000,4,NVIDIA L40S,46068 MiB,rocky8,node2643-2644
pi_abodner,1,64,1031000,4,NVIDIA H100 80GB HBM3,81559 MiB,rocky8,node2905
pi_cdrennan_gpu,2,48,386000,3,NVIDIA L40S,46068 MiB,rocky8,node1804-1805
pi_faez,2,224,2063000,8,NVIDIA H100 80GB HBM3,81559 MiB,rocky8,node2900-2901
pi_gaias,1,96,1031000,4,NVIDIA L40S,46068 MiB,rocky8,node2902
pi_mghassem,1,64,1031000,4,NVIDIA L40S,46068 MiB,rocky8,node2903
pi_raffaele,1,64,1031000,4,NVIDIA H100 80GB HBM3,81559 MiB,rocky8,node2904
pi_srmadden,2,64,386000,2,NVIDIA L40S,46068 MiB,rocky8,node1704-1705
sched_17806,21,16,64000,1,Tesla K20m,4743 MiB,centos7,node025;node031;node035;node073;node146;node149;node152;node154;node156;node158-161;node164;node168-170;node172-173;node176-177
sched_any,4,16,64000,1,Tesla K20m,4743 MiB,centos7,node025;node087;node161;node170
sched_any,1,48,128000,8,Tesla K80,11441 MiB,centos7,node235
sched_any_quicktest*,1,16,64000,1,Tesla K20m,4743 MiB,centos7,node145
sched_bu_rebbi,21,16,64000,1,Tesla K20m,4743 MiB,centos7,node025;node031;node035;node073;node146;node149;node152;node154;node156;node158-161;node164;node168-170;node172-173;node176-177
sched_bu_rebbi-gputest,1,16,64000,1,Tesla K20m,4743 MiB,centos7,node073
sched_engaging_default,21,16,64000,1,Tesla K20m,4743 MiB,centos7,node025;node031;node035;node073;node146;node149;node152;node154;node156;node158-161;node164;node168-170;node172-173;node176-177
sched_mit_binz_gpu,1,20,128000,4,NVIDIA GeForce RTX 2080 Ti,11264 MiB,centos7,node1195
sched_mit_buehler_gpu,1,48,772000,4,Tesla V100S-PCIE-32GB,32768 MiB,centos7,node1230
sched_mit_buehler_gpu,2,48,772000,10,Tesla V100S-PCIE-32GB,32768 MiB,centos7,node1228-1229
sched_mit_ccoley,2,52,514000,8,NVIDIA GeForce RTX 2080 Ti,11264 MiB,centos7,node1236-1237
sched_mit_darwin2,9,28,128000,2,Tesla P100-PCIE-12GB,12288 MiB,centos7,node737-741;node753-756
sched_mit_fraenkel_r8,1,64,1031000,4,NVIDIA A40,46068 MiB,rocky8,node2403
sched_mit_hill,21,16,64000,1,Tesla K20m,4743 MiB,centos7,node025;node031;node035;node073;node146;node149;node152;node154;node156;node158-161;node164;node168-170;node172-173;node176-177
sched_mit_hill,1,48,128000,8,Tesla K80,11441 MiB,centos7,node235
sched_mit_hill-gputest,4,16,64000,1,Tesla K20m,4743 MiB,centos7,node025;node031;node035;node073
sched_mit_hill_cpsfr,4,40,515000,4,NVIDIA A100 80GB PCIe,81920 MiB,rocky8,node2414-2417
sched_mit_jhewitt_r8,1,40,515000,2,NVIDIA A100 80GB PCIe,81920 MiB,rocky8,node2418
sched_mit_kburdge_r8,4,256,515000,4,NVIDIA A100-SXM4-80GB,81920 MiB,rocky8,node2002-2005
sched_mit_keating,1,64,1031000,4,NVIDIA A100-SXM4-80GB,81920 MiB,rocky8,node1927
sched_mit_mki_preempt_r8,2,128,515000,4,NVIDIA A100-SXM4-80GB,81920 MiB,rocky8,node2000-2001
sched_mit_mki_preempt_r8,4,256,515000,4,NVIDIA A100-SXM4-80GB,81920 MiB,rocky8,node2002-2005
sched_mit_mki_preempt_r8,1,40,515000,2,NVIDIA A100 80GB PCIe,81920 MiB,rocky8,node2418
sched_mit_mki_r8,2,128,515000,4,NVIDIA A100-SXM4-80GB,81920 MiB,rocky8,node2000-2001
sched_mit_psfc_gpu_r8,14,128,515000,4,NVIDIA A100-SXM4-80GB,81920 MiB,rocky8,node1917-1918;node2100-2104;node2119;node2300-2304;node2319
sched_mit_rafagb,2,48,257000,4,NVIDIA TITAN V,12288 MiB,centos7,node1034-1035
sched_mit_rafagb,15,64,385000,4,NVIDIA GeForce RTX 2080 Ti,11264 MiB,centos7,node1115-1118;node1120-1130
sched_mit_rafagb_amd,3,64,515000,8,NVIDIA GeForce RTX 2080 Ti,11264 MiB,centos7,node1204;node1207-1208
sched_mit_raffaele_gpu,1,128,515000,4,NVIDIA A100-SXM4-80GB,81920 MiB,centos7,node1463
sched_mit_redwine,21,16,64000,1,Tesla K20m,4743 MiB,centos7,node025;node031;node035;node073;node146;node149;node152;node154;node156;node158-161;node164;node168-170;node172-173;node176-177
sched_mit_rgmark,4,40,386000,1,Tesla K40m,11441 MiB,centos7,node309-312
sched_mit_rutledge_gpu,3,20,128000,4,NVIDIA TITAN V,12288 MiB,centos7,node1104-1106
sched_mit_sloan_gpu,1,28,257000,4,Tesla K80,11441 MiB,centos7,node970
sched_mit_sloan_gpu_r8,4,40,515000,4,NVIDIA A100 80GB PCIe,81920 MiB,rocky8,node2414-2417
sched_mit_thesmar,1,56,257000,4,Tesla K80,11441 MiB,centos7,node442
sched_mit_trout,1,28,64000,2,Tesla P100-PCIE-12GB,12288 MiB,centos7,node1033
sched_mit_trout,2,28,95000,4,Tesla P100-PCIE-12GB,12288 MiB,centos7,node1038-1039
sched_mit_tsmidt,1,64,1031000,4,NVIDIA A100-SXM4-80GB,81920 MiB,rocky8,node1928
sched_mit_wfrank,1,40,191000,4,Tesla V100S-PCIE-32GB,32768 MiB,centos7,node1231
sched_mit_wfrank,1,24,257000,4,Tesla K80,11441 MiB,centos7,node423
sched_neu_cooperman,21,16,64000,1,Tesla K20m,4743 MiB,centos7,node025;node031;node035;node073;node146;node149;node152;node154;node156;node158-161;node164;node168-170;node172-173;node176-177
sched_opportunist,24,16,64000,1,Tesla K20m,4743 MiB,centos7,node025;node031;node035;node073;node086-088;node146;node149;node152;node154;node156;node158-161;node164;node168-170;node172-173;node176-177
Sched_Umass_Shenoy,21,16,64000,1,Tesla K20m,4743 MiB,centos7,node025;node031;node035;node073;node146;node149;node152;node154;node156;node158-161;node164;node168-170;node172-173;node176-177
